,time,x,x,x,x,time,u,u,u,u
351,7.06,-0.003988319,-0.001814611,-0.001313181,-0.000784679,7.06,0,0.054473973,0.065710749,0.078595376
352,7.08,-0.00398149,-0.001813116,-0.001312542,-0.000784152,7.08,0,0.054438327,0.065659045,0.078467908
353,7.1,-0.003974443,-0.001811346,-0.00131226,-0.00078433,7.1,0,0.054393486,0.065627111,0.07841524
354,7.12,-0.003967196,-0.001809336,-0.001312287,-0.000785132,7.12,0,0.054340387,0.065613001,0.07843303
355,7.14,-0.003959769,-0.001807123,-0.001312569,-0.000786448,7.14,0,0.054280078,0.065614339,0.078513229
356,7.16,-0.003952181,-0.001804746,-0.001313049,-0.000788147,7.16,0,0.054213686,0.065628442,0.078644823
357,7.18,-0.00394445,-0.001802245,-0.001313667,-0.000790086,7.18,0,0.054142381,0.065652437,0.078814708
358,7.2,-0.003936595,-0.001799658,-0.001314367,-0.00079212,7.2,0,0.054067341,0.065683375,0.079008605
359,7.22,-0.003928633,-0.001797022,-0.001315091,-0.000794109,7.22,0,0.053989727,0.065718336,0.07921197
360,7.24,-0.003920583,-0.001794372,-0.001315787,-0.000795927,7.24,0,0.053910653,0.065754529,0.079410858
361,7.26,-0.00391246,-0.001791741,-0.001316411,-0.000797468,7.26,0,0.053831164,0.065789371,0.079592672
362,7.28,-0.003904281,-0.001789156,-0.001316922,-0.00079865,7.28,0,0.053752218,0.065820558,0.079746787
363,7.3,-0.003896061,-0.001786642,-0.001317289,-0.000799418,7.3,0,0.05367467,0.065846118,0.079865003
364,7.32,-0.003887814,-0.00178422,-0.001317486,-0.000799746,7.32,0,0.053599261,0.065864445,0.079941828
365,7.34,-0.003879552,-0.001781907,-0.001317499,-0.000799633,7.34,0,0.053526611,0.065874325,0.079974586
366,7.36,-0.003871289,-0.001779715,-0.001317317,-0.000799107,7.36,0,0.053457216,0.065874937,0.079963341
367,7.38,-0.003863034,-0.001777652,-0.00131694,-0.000798214,7.38,0,0.053391446,0.065865851,0.079910687
368,7.4,-0.003854797,-0.001775722,-0.001316373,-0.00079702,7.4,0,0.053329549,0.065847,0.079821398
369,7.42,-0.003846588,-0.001773926,-0.001315628,-0.000795602,7.42,0,0.053271655,0.065818658,0.07970198
370,7.44,-0.003838415,-0.001772262,-0.001314721,-0.000794044,7.44,0,0.053217788,0.065781394,0.079560166
371,7.46,-0.003830283,-0.001770725,-0.001313672,-0.000792431,7.46,0,0.05316787,0.065736029,0.079404368
372,7.48,-0.0038222,-0.001769305,-0.001312505,-0.000790847,7.48,0,0.053121736,0.065683585,0.079243147
373,7.5,-0.003814169,-0.001767993,-0.001311245,-0.000789364,7.5,0,0.053079146,0.065625233,0.079084705
374,7.52,-0.003806196,-0.001766778,-0.001309918,-0.000788046,7.52,0,0.053039795,0.065562238,0.078936441
375,7.54,-0.003798283,-0.001765645,-0.001308551,-0.00078694,7.54,0,0.053003331,0.065495909,0.078804589
376,7.56,-0.003790432,-0.001764583,-0.001307169,-0.000786077,7.56,0,0.052969364,0.065427554,0.078693953
